,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
933,1032,long,3k,229.0,2.361727836017593,1.6190025405183524,4.239515000000001,1.83,1.6958060000000004,966.0,1098.0,1146.0,long,675.156862745098,229.0,2.361727836017593,1.6190025405183524,9.906023891814234,9.906023891814234
2256,2473,time,3k,417.0,2.621176281775035,1.3595540947609104,5.16,1.86,2.064,1847.0,1882.0,2005.0,time,1958.6274509803923,417.0,2.621176281775035,1.3595540947609104,9.918439331663187,9.918439331663187
1506,1651,help,3k,153.0,2.187520720836463,1.7932096556994823,3.65,1.79,1.46,1631.0,917.0,754.0,help,921.1176470588235,153.0,2.187520720836463,1.7932096556994823,9.926233794948189,9.926233794948189
2863,4171,if,lcnl,468.0,2.6711728427150834,1.309557533820862,5.3585,2.34,2.1434,1827.0,2192.0,2595.0,if,3541.372549019608,468.0,2.6711728427150834,1.309557533820862,9.941951368373019,9.941951368373019
409,461,three,3k,155.0,2.1931245983544616,1.7876057781814838,3.685351,1.5,1.4741403999999998,578.0,532.0,576.0,three,542.2352941176471,155.0,2.1931245983544616,1.7876057781814838,9.941971223635193,9.941971223635193
1712,1881,please,3k,135.0,2.1335389083702174,1.847191468165728,3.4828680000000003,1.22,1.3931472,286.0,207.0,159.0,please,1100.9607843137255,135.0,2.1335389083702174,1.847191468165728,9.948038138580047,9.948038138580047
496,558,hat,3k,120.0,2.0827853703164503,1.8979450062194951,3.33,1.14,1.3319999999999999,369.0,140.0,97.0,hat,64.17647058823529,120.0,2.0827853703164503,1.8979450062194951,9.972807521768233,9.972807521768233
787,870,car,3k,122.0,2.089905111439398,1.8908252650965474,3.37,1.95,1.348,741.0,492.0,370.0,car,483.05882352941177,122.0,2.089905111439398,1.8908252650965474,9.987888427837916,9.987888427837916
2490,2724,know,3k,257.0,2.41161970596323,1.5691106705727154,4.5,2.12,1.8,2010.0,1924.0,1730.0,know,5721.176470588235,257.0,2.41161970596323,1.5691106705727154,9.991887347004504,9.991887347004504
1866,2049,some,3k,316.0,2.5010592622177517,1.4796711143181938,4.846964,2.44,1.9387856,2171.0,1973.0,2260.0,some,1727.235294117647,316.0,2.5010592622177517,1.4796711143181938,10.025812900113678,10.025812900113678
2468,2701,now,3k,405.0,2.6085260335771943,1.3722043429587512,5.2519300000000015,1.77,2.100772,2249.0,1833.0,1836.0,now,3202.607843137255,405.0,2.6085260335771943,1.3722043429587512,10.05464520035563,10.05464520035563
350,390,bad,3k,78.0,1.8976270912904414,2.083103285245504,2.79,1.27,1.1159999999999999,421.0,301.0,236.0,bad,545.1764705882352,78.0,1.8976270912904414,2.083103285245504,10.080861498359265,10.080861498359265
1867,2050,back,3k,406.0,2.60959440922522,1.3711359673107255,5.3052150000000005,2.35,2.1220860000000004,2096.0,1959.0,1784.0,back,2009.1568627450981,406.0,2.60959440922522,1.3711359673107255,10.10419088558754,10.10419088558754
83,95,would,3k,396.0,2.598790506763115,1.3819398697728302,5.28,1.56,2.112,1957.0,2329.0,2710.0,would,1767.8823529411766,396.0,2.598790506763115,1.3819398697728302,10.116789544204906,10.116789544204906
1220,1341,nose,3k,84.0,1.9294189257142926,2.051311450821653,2.95,1.15,1.1800000000000002,181.0,123.0,123.0,nose,69.74509803921569,84.0,1.9294189257142926,2.051311450821653,10.129590077875786,10.129590077875786
