word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale
wonder,35,3.555348061,6.121099624
alice,34,3.526360525,6.152725154
believe,34,3.526360525,6.152725154
bring,34,3.526360525,6.152725154
built,34,3.526360525,6.152725154
butterfly,34,3.526360525,6.152725154
ears,34,3.526360525,6.152725154
finished,34,3.526360525,6.152725154
forest,34,3.526360525,6.152725154
grouchy,34,3.526360525,6.152725154
kitchen,34,3.526360525,6.152725154
knows,34,3.526360525,6.152725154
la,34,3.526360525,6.152725154
lights,34,3.526360525,6.152725154
loves,34,3.526360525,6.152725154
men,34,3.526360525,6.152725154
middle,34,3.526360525,6.152725154
slinger,34,3.526360525,6.152725154
socks,34,3.526360525,6.152725154
sorry,34,3.526360525,6.152725154
step,34,3.526360525,6.152725154
stories,34,3.526360525,6.152725154
teeth,34,3.526360525,6.152725154
alan,33,3.496507561,6.185294868
anne,33,3.496507561,6.185294868
beep,33,3.496507561,6.185294868
bike,33,3.496507561,6.185294868
breakfast,33,3.496507561,6.185294868
cock,33,3.496507561,6.185294868
crayon,33,3.496507561,6.185294868
dig,33,3.496507561,6.185294868
falling,33,3.496507561,6.185294868
girls,33,3.496507561,6.185294868
liked,33,3.496507561,6.185294868
mommy,33,3.496507561,6.185294868
move,33,3.496507561,6.185294868
near,33,3.496507561,6.185294868
page,33,3.496507561,6.185294868
pond,33,3.496507561,6.185294868
sam,33,3.496507561,6.185294868
six,33,3.496507561,6.185294868
slept,33,3.496507561,6.185294868
start,33,3.496507561,6.185294868
toes,33,3.496507561,6.185294868
toward,33,3.496507561,6.185294868
we've,33,3.496507561,6.185294868
woof,33,3.496507561,6.185294868
years,33,3.496507561,6.185294868
above,32,3.465735903,6.218866883
answer,32,3.465735903,6.218866883
apple,32,3.465735903,6.218866883
bath,32,3.465735903,6.218866883
become,32,3.465735903,6.218866883
blew,32,3.465735903,6.218866883
color,32,3.465735903,6.218866883
cut,32,3.465735903,6.218866883
doesn't,32,3.465735903,6.218866883
ear,32,3.465735903,6.218866883
early,32,3.465735903,6.218866883
forth,32,3.465735903,6.218866883
helped,32,3.465735903,6.218866883
higher,32,3.465735903,6.218866883
kids,32,3.465735903,6.218866883
library,32,3.465735903,6.218866883
linsky,32,3.465735903,6.218866883
named,32,3.465735903,6.218866883
okay,32,3.465735903,6.218866883
others,32,3.465735903,6.218866883
pushed,32,3.465735903,6.218866883
sort,32,3.465735903,6.218866883
station,32,3.465735903,6.218866883
stayed,32,3.465735903,6.218866883
strong,32,3.465735903,6.218866883
teacher,32,3.465735903,6.218866883
tomorrow,32,3.465735903,6.218866883
walking,32,3.465735903,6.218866883
wants,32,3.465735903,6.218866883
whispered,32,3.465735903,6.218866883
wrong,32,3.465735903,6.218866883
yelled,32,3.465735903,6.218866883
yet,32,3.465735903,6.218866883
berries,31,3.433987204,6.253504853
butter,31,3.433987204,6.253504853
duncan,31,3.433987204,6.253504853
feeling,31,3.433987204,6.253504853
followed,31,3.433987204,6.253504853
hare,31,3.433987204,6.253504853
hen,31,3.433987204,6.253504853
herself,31,3.433987204,6.253504853
jump,31,3.433987204,6.253504853
matter,31,3.433987204,6.253504853
mind,31,3.433987204,6.253504853
moo,31,3.433987204,6.253504853
orange,31,3.433987204,6.253504853
paw,31,3.433987204,6.253504853
picnic,31,3.433987204,6.253504853
picture,31,3.433987204,6.253504853
pink,31,3.433987204,6.253504853
quick,31,3.433987204,6.253504853
safe,31,3.433987204,6.253504853
silver,31,3.433987204,6.253504853
trucks,31,3.433987204,6.253504853
wood,31,3.433987204,6.253504853
bottom,30,3.401197382,6.289278694
camilla,30,3.401197382,6.289278694
evening,30,3.401197382,6.289278694
henry,30,3.401197382,6.289278694
leaves,30,3.401197382,6.289278694
likes,30,3.401197382,6.289278694
lots,30,3.401197382,6.289278694
nobody,30,3.401197382,6.289278694
played,30,3.401197382,6.289278694
stuck,30,3.401197382,6.289278694
tiny,30,3.401197382,6.289278694
twenty,30,3.401197382,6.289278694
afternoon,29,3.36729583,6.326265436
also,29,3.36729583,6.326265436
bottle,29,3.36729583,6.326265436
brush,29,3.36729583,6.326265436
dinosaur,29,3.36729583,6.326265436
downstairs,29,3.36729583,6.326265436
drink,29,3.36729583,6.326265436
everybody,29,3.36729583,6.326265436
everywhere,29,3.36729583,6.326265436
finger,29,3.36729583,6.326265436
fingers,29,3.36729583,6.326265436
having,29,3.36729583,6.326265436
lay,29,3.36729583,6.326265436
lovely,29,3.36729583,6.326265436
merriweather,29,3.36729583,6.326265436
places,29,3.36729583,6.326265436
pop,29,3.36729583,6.326265436
puppy,29,3.36729583,6.326265436
queen,29,3.36729583,6.326265436
ring,29,3.36729583,6.326265436
sandwich,29,3.36729583,6.326265436
soup,29,3.36729583,6.326265436
spring,29,3.36729583,6.326265436
tickle,29,3.36729583,6.326265436
tight,29,3.36729583,6.326265436
toys,29,3.36729583,6.326265436
arms,28,3.33220451,6.36455022
babar,28,3.33220451,6.36455022
beans,28,3.33220451,6.36455022
build,28,3.33220451,6.36455022
bunny,28,3.33220451,6.36455022
dragons,28,3.33220451,6.36455022
few,28,3.33220451,6.36455022
he'd,28,3.33220451,6.36455022
nanny,28,3.33220451,6.36455022
ones,28,3.33220451,6.36455022
seven,28,3.33220451,6.36455022
sign,28,3.33220451,6.36455022
sounds,28,3.33220451,6.36455022
south,28,3.33220451,6.36455022
